MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,REGION,SPP_NAME,SECTOR_ID
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,ALL,1928
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,ALL,1929
ANCHORING RESTRICTION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,ALL,1930
ANCHORING RESTRICTION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,ALL,1931
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",1932
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",1933
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",1934
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",1935
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",1936
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,"PROHIBITED SPECIES: CORAL, SEA CUCUMBER, AND SEA URCHIN",1937
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1938
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1939
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,ALL,1940
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,ALL,1941
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,ALL,1942
PROHIBITED GEAR,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,ALL,1943
IMPORT PROHIBITIONS,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1944
IMPORT PROHIBITIONS,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1945
TRIP LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"CONCH, QUEEN",1946
ANCHORING RESTRICTION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,ALL,1947
ANCHORING RESTRICTION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,ALL,1948
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1949
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1950
IMPORT PROHIBITIONS,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1951
IMPORT PROHIBITIONS,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1952
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,ALL,1953
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,ALL,1954
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"PARROTFISH, STRIPED",1955
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"PARROTFISH, STRIPED",1956
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"PARROTFISH, STOPLIGHT",1957
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"PARROTFISH, STOPLIGHT",1958
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"PARROTFISH, REDTAIL",1959
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"PARROTFISH, REDTAIL",1960
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"PARROTFISH, REDBAND",1961
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"PARROTFISH, REDBAND",1962
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"PARROTFISH, REDFIN",1963
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"PARROTFISH, REDFIN",1964
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,"HIND, RED",1965
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,"HIND, RED",1966
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,"SNAPPER, MUTTON",1967
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,"SNAPPER, MUTTON",1968
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"HIND, RED",1969
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"HIND, RED",1970
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"SNAPPER, MUTTON",1971
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"SNAPPER, MUTTON",1972
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"HIND, RED",1973
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,"HIND, RED",1974
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"SNAPPER, MUTTON",1975
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,"SNAPPER, MUTTON",1976
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,"SNAPPER, YELLOWTAIL",1977
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,"SNAPPER, YELLOWTAIL",1978
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"PARROTFISH, QUEEN",1979
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"PARROTFISH, QUEEN",1980
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",1981
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"CONCH, QUEEN",1982
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1983
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1984
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"SNAPPER, YELLOWTAIL",1985
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"SNAPPER, YELLOWTAIL",1986
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1987
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1988
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"SNAPPER, YELLOWTAIL",1989
