MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,PROHIBITED SALE AND PURCHASE: CORALS,2391
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,PROHIBITED SALE AND PURCHASE: CORALS,2392
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,"BAG LIMIT: GROUPERS, PARROTFISHES, AND SNAPPERS COMBINED",2393
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2394
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2395
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,"BAG LIMIT: ANGELFISHES, GRUNTS, JACKS, SURGEONFISHES, TRIGGERFISHES, AND WRASSES COMBINED",2396
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,SURGEONFISH,2397
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2398
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2399
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"CONCH, QUEEN",2400
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"BAG LIMIT: ANGELFISHES, GRUNTS, SQUIRRELFISHES, SURGEONFISHES, AND TRIGGERFISHES COMBINED",2401
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"BAG LIMIT: GROUPERS, PARROTFISHES, AND SNAPPERS COMBINED",2402
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,SURGEONFISH,2403
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2404
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,PARROTFISH 2,2405
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2406
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,ALL,2407
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,ALL,2408
