MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
MAXIMUM SIZE LIMIT,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,"RUDDERFISH, BANDED",342
MAXIMUM SIZE LIMIT,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"RUDDERFISH, BANDED",343
MAXIMUM SIZE LIMIT,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,"AMBERJACK, LESSER",344
MAXIMUM SIZE LIMIT,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"AMBERJACK, LESSER",345
MINIMUM SIZE LIMIT,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,"RUDDERFISH, BANDED",346
MINIMUM SIZE LIMIT,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"RUDDERFISH, BANDED",347
QUOTA WITHHOLD,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"SNAPPER, RED",348
TRIP LIMIT,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,ALL,SOUTH ATLANTIC,"GROUPER, RED",349
CLOSURE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,ALL,SOUTH ATLANTIC,"GROUPER, RED",350
CLOSURE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,ALL,SOUTH ATLANTIC,"GROUPER, RED",351
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,ALL,SOUTH ATLANTIC,"GROUPER, RED",352
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,ALL,SOUTH ATLANTIC,"GROUPER, RED",353
IFQ PROGRAM ESTABLISHED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"SNAPPER, RED",354
STATE RELATED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,FOR-HIRE,GULF OF MEXICO,"GROUPER, GAG",355
STATE RELATED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"GROUPER, GAG",356
STATE RELATED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"SNAPPER, RED",357
STATE RELATED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"AMBERJACK, GREATER",358
STATE RELATED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"TRIGGERFISH, GRAY",359
STATE RELATED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,FOR-HIRE,GULF OF MEXICO,"TRIGGERFISH, GRAY",360
